filename,mark,x.field,x.type,y.aggregate,y.field,y.type,color.field,color.type,x.aggregate,size.field,size.type,size.aggregate,color.aggregate,shape.field,shape.type,column.field,column.type,row.field,row.type,label
stacked_bar_count_normalized.vl.json,43,1,59,24,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
line_encoding_impute_keyvals_normalized.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_v.vl.json,43,1,7,16,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_composition_or_normalized.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_max_year_normalized.vl.json,94,1,18,1,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_sort_by_encoding.vl.json,43,1,47,7,1,96,0,81,32,0,41,13,98,0,6,0,77,0,82,0
bar_title.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_normalized.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_single_cylinders_origin.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_inside_domain_using_transform.vl.json,94,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_h_normalized.vl.json,43,1,47,7,1,9,1,88,32,0,41,13,98,0,6,0,77,0,82,0
selection_composition_or.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_interval_x_normalized.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_1d_step_config.vl.json,43,1,47,7,0,28,0,81,32,0,41,13,98,0,6,0,77,0,82,0
tick_sort_normalized.vl.json,67,1,47,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_impute_method_normalized.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_zoom_scatterplot_wheel_normalized.vl.json,37,1,47,7,1,33,0,81,71,1,68,13,98,0,6,0,77,0,82,0
selection_type_single_dblclick.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
