tconst,title,titleType,startYear,runtimeMinutes,averageRating,numVotes
tt0040844,Crossroads of Laredo,short,1995,30,3.7,167
tt0059325,Born in '45,movie,1990,100,6.5,208
tt0059900,When You Grow Up Dear Adam,movie,1990,78,6.8,26
tt0066435,Take It Out in Trade: The Outtakes,video,1995,69,5.5,47
tt0078006,Norman and the Killer,short,1991,30,7.2,25
tt0078135,Solution One,short,1995,11,7.0,51
tt0081145,Me and the Kid,movie,1993,94,5.4,244
tt0081721,Vincent and Me,movie,1990,100,6.3,292
tt0082473,The Great Barrier Reef,short,1999,39,7.0,112
tt0082631,Short Working Day,tvMovie,1995,73,6.9,305
tt0084015,Goodbye Paradise,movie,1991,101,7.3,39
tt0084638,Scenes from the Life of Andy Warhol: Friendships and Intersections,short,1990,36,7.0,309
tt0088473,Adventures in Wonderland,tvSeries,1992,30,8.0,558
tt0088655,A.D. Police File 1,tvMiniSeries,1990,121,6.8,641
tt0088656,A.D. Police File 2,tvEpisode,1990,40,6.8,132
tt0088657,AD Police Files 3: The Man Who Bites His Tongue,tvEpisode,1990,40,7.1,147
tt0089749,Otaku no bideo,tvMiniSeries,1991,50,7.2,525
tt0090008,Shattered Dreams,tvMovie,1990,94,5.8,132
tt0092350,Fight Back with David Horowitz,tvSeries,1991,30,7.9,24
tt0092589,Astonished,movie,1990,93,4.3,20
tt0093061,Funkytown,movie,1998,82,7.7,11
tt0093613,New York's Finest,video,1990,86,5.3,48
tt0094073,The Sun and the Moon,movie,1990,97,7.2,12
tt0094547,Sidewalks Entertainment,tvSeries,1994,30,4.2,48
tt0094900,Committed,movie,1991,90,5.2,183
tt0094908,Cool Blue,video,1990,93,4.5,371
tt0094926,Curse of the Crystal Eye,movie,1991,73,4.8,79
tt0094943,By Herself: A Dancer,tvShort,1991,30,6.2,6
tt0094997,Demonia,movie,1990,88,4.5,1240
tt0095095,Emperor of the Bronx,movie,1990,104,4.1,68
tt0095290,Lethal Angels,movie,1990,91,5.9,27
tt0095745,Black and White: A Warrior's Quest,movie,1993,87,2.2,251
tt0095821,Maximum Security,movie,1990,90,3.4,65
tt0095840,Payback,movie,1990,90,4.6,53
tt0095878,A Hazing in Hell,movie,1990,90,4.8,627
tt0096035,Sapphire Man,short,1990,25,5.6,7
tt0096038,Saturday Night Special,movie,1992,84,6.5,13
tt0096075,Sexpot,movie,1990,95,5.6,39
tt0096154,Spies Inc.,movie,1992,93,4.2,92
tt0096177,Still Life: The Fine Art of Murder,movie,1990,83,4.5,87
tt0096254,That Burning Question,short,1990,30,7.3,21
tt0096513,Outlaw Brothers,movie,1990,97,6.8,170
tt0096591,Nadia: The Secret of Blue Water,tvSeries,1990,25,7.8,1530
tt0096597,Good Times Bad Times,tvSeries,1990,23,3.5,1263
tt0096657,Mr. Bean,tvSeries,1990,25,8.5,101627
tt0096673,The Outsiders,tvSeries,1990,60,7.2,503
tt0096763,Adultery,movie,1990,81,5.8,23
tt0096786,Alienator,movie,1990,93,3.2,1353
tt0096799,The American Angels: Baptism of Blood,video,1990,99,5.6,154
tt0096837,The Assassin,movie,1990,91,4.5,62
tt0096845,Atlantic Rhapsody - 52 myndir úr Tórshavn,movie,1990,80,6.2,50
tt0096871,Baby Blood,movie,1990,88,6.0,1539
tt0096875,Catchfire,movie,1990,116,5.4,3385
tt0096995,Burndown,movie,1990,86,4.2,115
tt0097004,Caged Fury,movie,1990,95,4.0,667
tt0097013,Captain Power: The Beginning,tvMovie,1991,94,7.3,153
tt0097064,Circle of Fear,movie,1992,88,5.5,35
tt0097079,Father Jim,movie,1991,105,5.9,65
tt0097082,Columbo Cries Wolf,tvEpisode,1990,98,7.8,1543
tt0097086,Murder in Malibu,tvEpisode,1990,98,6.6,1212
tt0097088,Rest in Peace Mrs. Columbo,tvEpisode,1990,98,7.8,1490
tt0097091,Uneasy Lies the Crown,tvEpisode,1990,98,7.4,1236
tt0097106,Tales of Four Seasons,movie,1990,108,7.3,3696
tt0097115,Courage Mountain: Heidi's New Adventure,movie,1990,94,5.7,729
tt0097129,Crossing the Line,movie,1990,94,6.1,77
tt0097176,Deceit,movie,1990,90,4.7,684
tt0097184,Heartstone,movie,1990,88,4.7,142
tt0097259,Easy Kill,movie,1990,89,4.3,44
tt0097298,Eternity,movie,1990,110,2.7,145
tt0097318,Eye of the Widow,movie,1991,95,3.7,64
tt0097365,Flesh Gordon Meets the Cosmic Cheerleaders,movie,1990,102,3.6,1402
tt0097405,Fathers' Day,movie,1990,83,4.6,104
tt0097429,Ghoulies Go to College,video,1990,94,4.0,2225
tt0097505,High Finance Woman,movie,1990,100,4.5,91
tt0097516,Back to Hollywood Boulevard,movie,1990,82,5.2,80
tt0097522,Hometown Boy Makes Good,tvMovie,1990,88,5.3,66
tt0097542,The Trace of Lynx,movie,1990,83,6.4,5
tt0097550,I Bought a Vampire Motorcycle,movie,1990,101,5.6,1027
tt0097573,In the Cold of the Night,movie,1990,112,4.0,568
tt0097631,Hitz,movie,1992,85,4.8,116
tt0097638,Happy Ghost IV,movie,1990,88,5.8,139
tt0097655,Keaton's Cop,movie,1990,100,4.6,191
tt0097666,The Killer,movie,1990,80,6.3,62
tt0097718,The Laughing Dead,movie,1990,103,3.8,280
tt0097720,Law at Randado,movie,1990,110,3.8,123
tt0097726,Legion of Iron,movie,1990,90,4.3,105
tt0097766,What Happened to Santiago,movie,1995,105,7.0,210
tt0097769,The Local Stigmatic,movie,1990,56,5.9,1434
tt0097837,Marked for Murder,video,1990,88,4.4,57
tt0097863,Men in Love,movie,1990,85,4.0,43
tt0097874,Metamorphosis,movie,1990,92,3.8,775
tt0097884,May Fools,movie,1990,107,7.3,2821
tt0097910,Moon 44,movie,1990,98,5.1,4721
tt0097919,Location Hunting,movie,1990,106,5.1,9
tt0097988,Beyond Justice,tvMiniSeries,1991,300,5.8,169
